objectid,title,description,creator,location,latitude,longitude,date,dateCreated:end,type,format,subject,language,filename,rights,identifier
01_03_001,"Service station in Moscow, Idaho","Smith Brothers service station at 723 S. Main Street, Moscow, Idaho, showing three gas pumps and bays for tires, lubrication, and washing.  Two old cars at each side of photo.  ",Photographer Unidentified,"Moscow, Idaho",46.728426, -117.002070,1930,1940,Image;StillImage,image/jpeg,Service station; Cars; Grain elevator; Downtown,eng,01_03_001.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_001
01_03_002,Jim Murray's Shell Service Station,"Jim Murray's Shell service station in Moscow, Idaho",Photographer Unidentified,"Moscow, Idaho",46.732388,-117.000168,1950,1960,Image;StillImage,image/jpeg,Service station; Gas pumps; Moscow; Idaho,,01_03_002.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_002
01_03_003,"Postcard of Hotel Moscow, Moscow, Idaho","Postcard to Fannie Osterhout from Ivan, showing Hotel Moscow and Hodgins Drug in Moscow, Idaho",Photographer Unidentified,"Moscow, Idaho",46.731821,-117.001641,1912,,Image;StillImage,image/jpeg,Hotel; Drug store; Moscow; Idaho; Brick building; Downtown,,01_03_003.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_003
01_03_004,"Kenworthy Theatre, Moscow, Idaho","Kenworthy Theatre exterior, advertising ""Simba"" and a talking act with the Robt Morton Pipe Organ. The organ was later moved to the University of Idaho Administration Bbuilding Auditorium.",Photographer Unidentified,"Moscow, Idaho",46.730758,-117.001333,1930,1940,Image;StillImage,image/jpeg,Theatre; Downtown; Moscow; Idaho; Brick building; Pipe organ,,01_03_004.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_004
01_03_005,"Skattaboe Block, Moscow, Idaho",Skattaboe Building  housing  the Gem City Hardware Store and the Moscow Dental Parlor on the second floor.                                                                                                                                                                                                                                          ,Photographer Unidentified,"Moscow, Idaho",46.731541,-117.001564,1905,,Image;StillImage,image/jpeg,Skattaboe Block; Moscow; Idaho; Downtown; Gem City Hardware; Moscow Dental Parlor,,01_03_005.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_005
01_03_007,"The Wonder Bar, Moscow, Idaho","Photo shows five men posing in front of The Wonder Bar in Moscow, Idaho.  Joe Mordhorst on right. Advertisements for the New York Brewery in Spokane, Washington are shown on the columns.",Photographer Unidentified,"Moscow, Idaho",46.732388,-117.000168,1886,1903,Image;StillImage,image/jpeg,Wonder Bar; Moscow; Idaho; Downtown; Joe Mordhorst; ,,01_03_007.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_007
01_03_008,"W.J. McConnell & Co. store, Moscow, Idaho","McConnell Store at southeast corner of 1st and Main Sts, Moscow, Idaho.  E.R. Smith standing on porch when he was a clerk at 12 years. 13 people standing on porch. This is a copy from a tintype. ",Photographer Unidentified,"Moscow, Idaho",46.733483,-117.001287,1880,,Image;StillImage,image/jpeg,McConnell Store; Moscow; Idaho; Early business; ; ,,01_03_008.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_008
01_03_011_01,"Blanchard's Cigar Store, Moscow, Idaho","Two men standing in front of Blanchard's Cigar Store, Moscow, Idaho, which later became the location for Ken's Stationery on Main Street (513 S Main Street).",Photographer Unidentified,"Moscow, Idaho",46.730776,-117.001549,1938,1942,Image;StillImage,image/jpeg,Cigar Store; Moscow; Idaho; Bill Hoke; Ken's Stationery; Charlie Blanchard,,01_03_011_01.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_011_01
01_03_012,"Daily Idahonian presses, Moscow, Idaho","Interior photo of two women working with the newspaper's presses. Located at 409 S Jackson Street in Moscow, Idaho.",Photographer Unidentified,"Moscow, Idaho",46.731441,-117.002851,1938,1945,Image;StillImage,image/jpeg,Daily Idahonian; Moscow; Idaho; Newspaper; Newspaper press; ,,01_03_012.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_012
01_03_013,"David & Ely Store, Moscow, Idaho","Interior photo of Harry Sampson and Ray Yates in David's Department Store, showing racks of suit coats, wooden floor, banners, upper balcony, and money chutes in back.",Photographer Unidentified,"Moscow, Idaho",46.732149,-117.001312,1912,,Image;StillImage,image/jpeg,Department Store; Moscow; Idaho; Clothing; Money chute; ,,01_03_013.jpg,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",01_03_013
